192.168.1.152 - - [24/Sep/2022:22:22:17 +0100] "GET /repository/maven-public/org/jboss/resteasy/resteasy-bom/4.5.9.Final/resteasy-bom-4.5.9.Final.pom.sha1 HTTP/1.1" 200 - 40 161 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:17 +0100] "GET /repository/maven-public/io/fabric8/kubernetes-client-bom/5.1.1/kubernetes-client-bom-5.1.1.pom HTTP/1.1" 200 - 14638 197 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:18 +0100] "GET /repository/maven-public/io/fabric8/kubernetes-client-bom/5.1.1/kubernetes-client-bom-5.1.1.pom.sha1 HTTP/1.1" 200 - 40 143 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:18 +0100] "GET /repository/maven-public/io/vertx/vertx-dependencies/3.9.5/vertx-dependencies-3.9.5.pom HTTP/1.1" 200 - 31090 204 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:18 +0100] "GET /repository/maven-public/io/vertx/vertx-dependencies/3.9.5/vertx-dependencies-3.9.5.pom.sha1 HTTP/1.1" 200 - 40 132 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:18 +0100] "GET /repository/maven-public/io/grpc/grpc-bom/1.34.0/grpc-bom-1.34.0.pom HTTP/1.1" 200 - 4582 166 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:18 +0100] "GET /repository/maven-public/io/grpc/grpc-bom/1.34.0/grpc-bom-1.34.0.pom.sha1 HTTP/1.1" 200 - 40 149 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:19 +0100] "GET /repository/maven-public/software/amazon/awssdk/bom/2.15.79/bom-2.15.79.pom HTTP/1.1" 200 - 62802 230 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:19 +0100] "GET /repository/maven-public/software/amazon/awssdk/bom/2.15.79/bom-2.15.79.pom.sha1 HTTP/1.1" 200 - 40 165 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:19 +0100] "GET /repository/maven-public/software/amazon/awssdk/aws-sdk-java-pom/2.15.79/aws-sdk-java-pom-2.15.79.pom HTTP/1.1" 200 - 62422 244 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
